waypoint_id,x,y
245,-429.0,171.0
246,-431.0,171.0
247,-433.0,171.0
248,-435.0,171.0
249,-437.0,171.0
250,-439.0,171.0
251,-441.0,171.0
252,-443.0,171.0
253,-445.0,171.0
254,-447.0,171.0
255,-449.0,171.0
256,-451.0,171.0
257,-453.0,171.0
258,-455.0,171.0
259,-457.0,171.0
260,-459.0,171.0
261,-461.0,171.0
262,-463.0,171.0
263,-465.0,171.0
264,-467.0,171.0
265,-469.0,171.0
266,-471.0,171.0
267,-473.0,171.0
268,-475.0,171.0
269,-477.0,171.0
270,-479.0,171.0
271,-481.0,171.0
272,-483.0,171.0
273,-485.0,171.0
274,-487.0,171.0
275,-489.0,171.0
276,-491.0,171.0
277,-493.0,171.0
278,-495.0,171.0
279,-497.0,171.0
280,-499.0,171.0
281,-501.0,171.0
282,-503.0,171.0
283,-505.0,171.0
284,-507.0,171.0
285,-509.0,171.0
286,-511.0,171.0
287,-513.0,171.0
288,-515.0,171.0
289,-517.0,171.0
290,-519.0,171.0
291,-521.0,171.0
292,-523.0,171.0
293,-525.0,171.0
294,-527.0,171.0
295,-529.0,171.0
296,-531.0,171.0
297,-533.0,171.0
298,-535.0,171.0
299,-537.0,171.0
300,-539.0,171.0
301,-541.0,171.0
302,-543.0,171.0
303,-545.0,171.0
304,-547.0,171.0
305,-549.0,171.0
306,-551.0,171.0
307,-553.0,171.0
308,-555.0,171.0
309,-557.0,171.0
310,-559.0,171.0
311,-561.0,171.0
312,-561.0,173.0
313,-561.0,175.0
314,-559.0,175.0
315,-557.0,175.0
316,-555.0,175.0
317,-553.0,175.0
318,-551.0,175.0
319,-549.0,175.0
320,-547.0,175.0
321,-545.0,175.0
322,-543.0,175.0
323,-541.0,175.0
324,-539.0,175.0
325,-537.0,175.0
326,-535.0,175.0
327,-533.0,175.0
328,-531.0,175.0
329,-529.0,175.0
330,-527.0,175.0
331,-525.0,175.0
332,-523.0,175.0
333,-521.0,175.0
334,-519.0,175.0
335,-517.0,175.0
336,-515.0,175.0
337,-513.0,175.0
338,-511.0,175.0
339,-509.0,175.0
340,-507.0,175.0
341,-505.0,175.0
342,-503.0,175.0
343,-501.0,175.0
344,-499.0,175.0
345,-497.0,175.0
346,-495.0,175.0
347,-493.0,175.0
348,-491.0,175.0
349,-489.0,175.0
350,-487.0,175.0
351,-485.0,175.0
352,-483.0,175.0
353,-481.0,175.0
354,-479.0,175.0
355,-477.0,175.0
356,-475.0,175.0
357,-473.0,175.0
358,-471.0,175.0
359,-469.0,175.0
360,-467.0,175.0
361,-465.0,175.0
362,-463.0,175.0
363,-461.0,175.0
